ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,delay_counter,created_at
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:41.934096+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:42.183287+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:42.510698+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:42.796494+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:43.118402+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:43.379581+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:43.668176+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:43.940137+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:44.226158+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:44.518890+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:44.814518+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:45.133647+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:48.308536+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:48.797312+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:49.221715+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:49.459027+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:49.690176+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:49.891895+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-26 17:25:50.387201+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 13:23:42.165633+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 13:24:07.605810+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 13:24:29.526766+00:00
10000,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 13:26:07.049803+00:00
2323,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 15:11:43.911618+00:00
2323,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 15:11:46.497898+00:00
2323,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 15:11:46.897858+00:00
2323,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 15:11:47.362240+00:00
2323,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 15:11:47.666897+00:00
2323,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 15:11:47.980396+00:00
2323,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 15:11:48.286699+00:00
2323,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 15:11:48.579365+00:00
2323,1,1,1,1,1,1,1,1,1,1,1,1,4,2015-07-28 15:11:48.846220+00:00
